N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,361,25812.160428245323,2.098,164.882,726.0,6.064,34.535,726.09,6.064,34.53496
0,362,25812.160428245323,2.098,164.882,728.0,6.05,34.534,728.09,6.05,34.53396
0,363,25812.160428245323,2.098,164.882,730.0,6.036,34.534,730.09,6.036,34.53395
0,364,25812.160428245323,2.098,164.882,732.0,6.026,34.533,732.09,6.026,34.532955
0,365,25812.160428245323,2.098,164.882,734.0,5.989,34.534,734.09,5.989,34.53395
0,366,25812.160428245323,2.098,164.882,736.0,5.956,34.534,736.09,5.956,34.53396
0,367,25812.160428245323,2.098,164.882,738.0,5.943,34.534,738.09,5.943,34.533962
0,368,25812.160428245323,2.098,164.882,740.0,5.924,34.534,740.09,5.924,34.533943
0,369,25812.160428245323,2.098,164.882,742.0,5.906,34.534,742.09,5.906,34.53396
0,370,25812.160428245323,2.098,164.882,744.0,5.883,34.535,744.09,5.883,34.53496
0,371,25812.160428245323,2.098,164.882,746.0,5.868,34.535,746.09,5.868,34.53496
0,372,25812.160428245323,2.098,164.882,748.0,5.862,34.535,748.09,5.862,34.53495
0,373,25812.160428245323,2.098,164.882,750.0,5.857,34.534,750.09,5.857,34.53396
0,374,25812.160428245323,2.098,164.882,752.0,5.836,34.534,752.09,5.836,34.533955
0,375,25812.160428245323,2.098,164.882,754.0,5.809,34.533,754.09,5.809,34.53295
0,376,25812.160428245323,2.098,164.882,756.0,5.794,34.533,756.09,5.794,34.53296
0,377,25812.160428245323,2.098,164.882,758.0,5.777,34.533,758.09,5.777,34.532963
0,378,25812.160428245323,2.098,164.882,760.0,5.76,34.533,760.09,5.76,34.53296
0,379,25812.160428245323,2.098,164.882,762.0,5.743,34.533,762.09,5.743,34.532967
0,380,25812.160428245323,2.098,164.882,764.0,5.72,34.533,764.09,5.72,34.532948
0,381,25812.160428245323,2.098,164.882,766.0,5.701,34.533,766.09,5.701,34.532955
0,382,25812.160428245323,2.098,164.882,768.0,5.682,34.533,768.09,5.682,34.532955
0,383,25812.160428245323,2.098,164.882,770.0,5.665,34.533,770.09,5.665,34.532955
0,384,25812.160428245323,2.098,164.882,772.0,5.636,34.533,772.09,5.636,34.532948
0,385,25812.160428245323,2.098,164.882,774.0,5.626,34.533,774.09,5.626,34.53296
0,386,25812.160428245323,2.098,164.882,776.0,5.616,34.532,776.09,5.616,34.53195
0,387,25812.160428245323,2.098,164.882,778.0,5.587,34.532,778.09,5.587,34.53196
0,388,25812.160428245323,2.098,164.882,780.0,5.565,34.532,780.09,5.565,34.531956
0,389,25812.160428245323,2.098,164.882,782.0,5.552,34.532,782.09,5.552,34.53196
0,390,25812.160428245323,2.098,164.882,784.0,5.533,34.532,784.09,5.533,34.531963
0,391,25812.160428245323,2.098,164.882,786.0,5.512,34.532,786.09,5.512,34.531956
0,392,25812.160428245323,2.098,164.882,788.0,5.501,34.532,788.09,5.501,34.53195
0,393,25812.160428245323,2.098,164.882,790.0,5.49,34.533,790.09,5.49,34.53296
0,394,25812.160428245323,2.098,164.882,792.0,5.478,34.533,792.09,5.478,34.532948
