N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,0,20748.0947222295,-40.316,73.389,6.0,12.518,35.131,6.0,12.518,35.131
0,1,20748.0947222295,-40.316,73.389,10.0,12.519,35.131,10.0,12.519,35.131
0,2,20748.0947222295,-40.316,73.389,19.6,12.518,35.131,19.6,12.518,35.131
0,3,20748.0947222295,-40.316,73.389,29.8,12.519,35.131,29.8,12.519,35.131
0,4,20748.0947222295,-40.316,73.389,39.9,12.523,35.132,39.9,12.523,35.132
0,5,20748.0947222295,-40.316,73.389,50.2,12.525,35.132,50.2,12.525,35.132
0,6,20748.0947222295,-40.316,73.389,60.2,12.445,35.127,60.2,12.445,35.127
0,7,20748.0947222295,-40.316,73.389,69.9,12.41,35.128,69.9,12.41,35.128
0,8,20748.0947222295,-40.316,73.389,79.3,12.374,35.127,79.3,12.374,35.127
0,9,20748.0947222295,-40.316,73.389,90.1,12.326,35.123,90.1,12.326,35.123
0,10,20748.0947222295,-40.316,73.389,99.9,12.292,35.123,99.9,12.292,35.123
0,11,20748.0947222295,-40.316,73.389,110.2,12.234,35.118,110.2,12.234,35.118
0,12,20748.0947222295,-40.316,73.389,120.3,12.224,34.904,120.3,12.224,
0,13,20748.0947222295,-40.316,73.389,130.2,12.219,35.115,130.2,12.219,35.115
0,14,20748.0947222295,-40.316,73.389,140.2,12.219,35.116,140.2,12.219,35.116
0,15,20748.0947222295,-40.316,73.389,150.0,12.211,35.113,150.0,12.211,35.113
0,16,20748.0947222295,-40.316,73.389,160.1,12.206,35.113,160.1,12.206,35.113
0,17,20748.0947222295,-40.316,73.389,169.9,12.206,35.113,169.9,12.206,35.113
0,18,20748.0947222295,-40.316,73.389,179.7,12.203,35.111,179.7,12.203,35.111
0,19,20748.0947222295,-40.316,73.389,190.5,12.2,35.111,190.5,12.2,35.111
0,20,20748.0947222295,-40.316,73.389,199.9,12.183,35.107,199.9,12.183,35.107
0,21,20748.0947222295,-40.316,73.389,210.1,12.173,35.104,210.1,12.173,35.104
0,22,20748.0947222295,-40.316,73.389,220.4,12.125,35.096,220.4,12.125,35.096
0,23,20748.0947222295,-40.316,73.389,230.1,12.097,35.09,230.1,12.097,35.09
0,24,20748.0947222295,-40.316,73.389,240.4,12.07,35.085,240.4,12.07,35.085
0,25,20748.0947222295,-40.316,73.389,250.3,12.004,35.073,250.3,12.004,35.073
0,26,20748.0947222295,-40.316,73.389,259.8,12.034,35.081,259.8,12.034,35.081
0,27,20748.0947222295,-40.316,73.389,270.2,11.96,35.066,270.2,11.96,35.066
0,28,20748.0947222295,-40.316,73.389,279.5,11.939,35.062,279.5,11.939,35.062
0,29,20748.0947222295,-40.316,73.389,290.1,11.925,35.058,290.1,11.925,35.058
0,30,20748.0947222295,-40.316,73.389,300.3,11.895,35.053,300.3,11.895,35.053
0,31,20748.0947222295,-40.316,73.389,310.0,11.915,35.059,310.0,11.915,35.059
0,32,20748.0947222295,-40.316,73.389,319.9,11.896,35.056,319.9,11.896,35.056
0,33,20748.0947222295,-40.316,73.389,330.4,11.887,35.056,330.4,11.887,35.056
0,34,20748.0947222295,-40.316,73.389,339.8,11.894,35.057,339.8,11.894,35.057
0,35,20748.0947222295,-40.316,73.389,350.0,11.812,35.038,350.0,11.812,35.038
0,36,20748.0947222295,-40.316,73.389,360.3,11.759,35.029,360.3,11.759,35.029
0,37,20748.0947222295,-40.316,73.389,379.9,11.699,35.02,379.9,11.699,35.02
0,38,20748.0947222295,-40.316,73.389,399.8,11.555,34.997,399.8,11.555,34.997
0,39,20748.0947222295,-40.316,73.389,450.3,11.18,34.933,450.3,11.18,34.933
0,40,20748.0947222295,-40.316,73.389,500.2,10.895,34.891,500.2,10.895,34.891
0,41,20748.0947222295,-40.316,73.389,549.7,10.296,34.81,549.7,10.296,34.811
0,42,20748.0947222295,-40.316,73.389,600.0,9.699,34.739,600.0,9.699,34.739
0,43,20748.0947222295,-40.316,73.389,650.0,9.193,34.679,650.0,9.193,34.679
0,44,20748.0947222295,-40.316,73.389,700.4,8.67,34.626,700.4,8.67,34.627
0,45,20748.0947222295,-40.316,73.389,750.4,8.065,34.573,750.4,8.065,34.573
0,46,20748.0947222295,-40.316,73.389,800.3,7.596,34.534,800.3,7.596,34.535
0,47,20748.0947222295,-40.316,73.389,850.4,6.969,34.48,850.4,6.969,34.481
0,48,20748.0947222295,-40.316,73.389,899.8,5.991,34.386,899.8,5.991,34.387
0,49,20748.0947222295,-40.316,73.389,947.9,5.392,34.348,947.9,5.392,34.348
0,50,20748.0947222295,-40.316,73.389,1000.1,5.103,34.352,1000.1,5.103,34.353
0,51,20748.0947222295,-40.316,73.389,1050.3,4.643,34.337,1050.3,4.643,34.337
0,52,20748.0947222295,-40.316,73.389,1100.0,4.338,34.341,1100.0,4.338,34.341
0,53,20748.0947222295,-40.316,73.389,1150.0,4.118,34.34,1150.0,4.118,34.34
0,54,20748.0947222295,-40.316,73.389,1199.9,3.926,34.357,1199.9,3.926,34.357
0,55,20748.0947222295,-40.316,73.389,1250.1,3.763,34.375,1250.1,3.763,34.375
0,56,20748.0947222295,-40.316,73.389,1298.1,3.562,34.399,1298.1,3.562,34.399
0,57,20748.0947222295,-40.316,73.389,1350.2,3.432,34.423,1350.2,3.432,34.423
0,58,20748.0947222295,-40.316,73.389,1400.2,3.325,34.443,1400.2,3.325,34.443
0,59,20748.0947222295,-40.316,73.389,1449.8,3.221,34.466,1449.8,3.221,34.466
0,60,20748.0947222295,-40.316,73.389,1499.8,3.13,34.492,1499.8,3.13,34.492
0,61,20748.0947222295,-40.316,73.389,1550.5,3.019,34.52,1550.5,3.019,34.52
0,62,20748.0947222295,-40.316,73.389,1599.7,2.931,34.544,1599.7,2.931,34.544
0,63,20748.0947222295,-40.316,73.389,1649.9,2.875,34.562,1649.9,2.875,34.562
0,64,20748.0947222295,-40.316,73.389,1699.6,2.817,34.582,1699.6,2.817,34.582
0,65,20748.0947222295,-40.316,73.389,1749.5,2.767,34.6,1749.5,2.767,34.6
0,66,20748.0947222295,-40.316,73.389,1799.6,2.73,34.615,1799.6,2.73,34.615
0,67,20748.0947222295,-40.316,73.389,1850.3,2.691,34.633,1850.3,2.691,34.633
0,68,20748.0947222295,-40.316,73.389,1899.8,2.658,34.647,1899.8,2.658,34.647
0,69,20748.0947222295,-40.316,73.389,1950.2,2.612,34.666,1950.2,2.612,34.666
0,70,20748.0947222295,-40.316,73.389,2000.0,2.568,34.681,2000.0,2.568,34.681
